"codigo_ocorrencia";"ocorrencia_classificacao";"ocorrencia_latitude";"ocorrencia_longitude";"ocorrencia_cidade";"ocorrencia_uf";"ocorrencia_pais";"ocorrencia_aerodromo";"ocorrencia_dia";"ocorrencia_hora";"investigacao_aeronave_liberada";"investigacao_status";"divulgacao_relatorio_numero";"divulgacao_relatorio_publicado";"divulgacao_dia_publicacao";"total_recomendacoes";"total_aeronaves_envolvidas";"ocorrencia_saida_pista";"Mes";"Dia_mes";"Semana_mes";"Dia_Semana";"Hora"
52242;"INCIDENTE";NA;NA;"PORTO ALEGRE";"RS";"BRASIL";"SBPA";2012-01-05;20:27:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";1;5;1;5;20
45331;"ACIDENTE";-23,4355555556;-46,4730555556;"GUARULHOS";"SP";"BRASIL";"SBGR";2012-01-06;13:44:00;"SIM";"FINALIZADA";"A-582/CENIPA/2014";"SIM";2016-09-01;3;1;"NÃO";1;6;1;6;13
45333;"ACIDENTE";NA;NA;"VIAMÃO";"RS";"BRASIL";"";2012-01-06;13:00:00;"";"FINALIZADA";"A-070/CENIPA/2013";"SIM";2013-11-27;0;1;"NÃO";1;6;1;6;13
45401;"ACIDENTE";NA;NA;"SÃO SEBASTIÃO";"SP";"BRASIL";"";2012-01-06;17:00:00;"";"";"";"NÃO";NA;0;1;"NÃO";1;6;1;6;17
45407;"ACIDENTE";NA;NA;"SÃO SEPÉ";"RS";"BRASIL";"";2012-01-06;16:30:00;"SIM";"FINALIZADA";"A-071/CENIPA/2013";"SIM";2013-11-27;0;1;"NÃO";1;6;1;6;16
52243;"INCIDENTE";NA;NA;"UBATUBA";"SP";"BRASIL";"";2012-01-06;14:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";1;6;1;6;14
50713;"INCIDENTE GRAVE";NA;NA;"CAMPINAS";"SP";"BRASIL";"SDAI";2012-01-07;18:15:00;"SIM";"FINALIZADA";"IG-184/CENIPA/2013";"SIM";2014-01-08;0;1;"NÃO";1;7;1;7;18
45334;"INCIDENTE";NA;NA;"BELÉM";"PA";"BRASIL";"SBBE";2012-01-08;19:12:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";1;8;2;1;19
45391;"ACIDENTE";-19,9133333333;-48,2930555556;"CONCEIÇÃO DAS ALAGOAS";"MG";"BRASIL";"";2012-01-08;16:00:00;"";"FINALIZADA";"A DEFINIR";"NÃO";NA;0;1;"NÃO";1;8;2;1;16
52244;"INCIDENTE";NA;NA;"UBERLÂNDIA";"MG";"BRASIL";"SBUL";2012-01-08;22:13:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";1;8;2;1;22
45332;"ACIDENTE";NA;NA;"VIAMÃO";"RS";"BRASIL";"";2012-01-09;13:30:00;"SIM";"FINALIZADA";"A-072/CENIPA/2013";"SIM";2013-11-27;0;1;"NÃO";1;9;2;2;13
52245;"INCIDENTE";NA;NA;"PORTO ALEGRE";"RS";"BRASIL";"SBPA";2012-01-09;13:36:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";1;9;2;2;13
45396;"INCIDENTE GRAVE";-5,3677777778;-49,1383333333;"MARABÁ";"PA";"BRASIL";"SBMA";2012-01-11;11:21:00;"SIM";"FINALIZADA";"IG-508/CENIPA/2017";"SIM";2017-05-02;0;1;"NÃO";1;11;2;4;11
45408;"ACIDENTE";-24,5888888889;-48,2113888889;"ELDORADO";"SP";"BRASIL";"";2012-01-11;13:45:00;"SIM";"FINALIZADA";"A-509/CENIPA/2021";"SIM";2021-07-08;1;1;"NÃO";1;11;2;4;13
45447;"INCIDENTE";NA;NA;"RIO BRANCO";"AC";"BRASIL";"";2012-01-13;18:15:00;"SIM";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";1;13;2;6;18
45409;"ACIDENTE";-16,0388888889;-57,5958333333;"CÁCERES";"MT";"BRASIL";"";2012-01-14;10:00:00;"";"FINALIZADA";"ENCERRADA NO RAI";"NÃO";NA;0;1;"NÃO";1;14;2;7;10
45693;"INCIDENTE";NA;NA;"MACAÉ";"RJ";"BRASIL";"";2012-01-14;10:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";1;14;2;7;10
52246;"INCIDENTE";NA;NA;"BRASÍLIA";"DF";"BRASIL";"SBBR";2012-01-16;16:47:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";1;16;3;2;16
50714;"INCIDENTE GRAVE";-2,8966666667;-40,8569444444;"CAMOCIM";"CE";"BRASIL";"SNWC";2012-01-17;18:25:00;"SIM";"FINALIZADA";"IG-073/CENIPA/2013";"SIM";2014-10-01;0;1;"NÃO";1;17;3;3;18
45399;"INCIDENTE GRAVE";-1,1966666667;-49,2675;"MUANÁ";"PA";"BRASIL";"";2012-01-18;17:35:00;"SIM";"FINALIZADA";"IG-074/CENIPA/2013";"SIM";2014-08-15;0;1;"NÃO";1;18;3;4;17
52247;"INCIDENTE";NA;NA;"BELO HORIZONTE";"MG";"BRASIL";"SBPR";2012-01-18;13:10:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";1;18;3;4;13
45392;"ACIDENTE";-15,8197222222;-47,8747222222;"BRASÍLIA";"DF";"BRASIL";"";2012-01-19;21:30:00;"SIM";"FINALIZADA";"A-032/CENIPA/2014";"SIM";2014-04-07;2;1;"NÃO";1;19;3;5;21
45390;"ACIDENTE";-18,4319444444;-49,4430555556;"CACHOEIRA DOURADA";"GO";"BRASIL";"";2012-01-20;21:00:00;"SIM";"FINALIZADA";"A-598/CENIPA/2014";"SIM";2014-10-01;0;1;"NÃO";1;20;3;6;21
45405;"INCIDENTE";NA;NA;"CUIABÁ";"MT";"BRASIL";"";2012-01-20;08:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";1;20;3;6;8
45582;"INCIDENTE GRAVE";-16,5852777778;-54,7241666667;"RONDONÓPOLIS";"MT";"BRASIL";"SWRD";2012-01-20;17:00:00;"SIM";"FINALIZADA";"IG-535/CENIPA/2015";"SIM";2015-07-21;0;1;"SIM";1;20;3;6;17
45400;"INCIDENTE GRAVE";NA;NA;"BRASÍLIA";"DF";"BRASIL";"SBBR";2012-01-21;14:50:00;"SIM";"FINALIZADA";"IG-544/CENIPA/2015";"SIM";2017-03-31;4;1;"NÃO";1;21;3;7;14
45410;"ACIDENTE";-23,005278;-46,636944;"BRAGANÇA PAULISTA";"SP";"BRASIL";"SDVH";2012-01-21;23:30:00;"";"FINALIZADA";"A DEFINIR";"NÃO";NA;0;1;"SIM";1;21;3;7;23
52241;"INCIDENTE GRAVE";NA;NA;"UBERLÂNDIA";"MG";"BRASIL";"SBUL";2012-01-21;20:45:00;"";"";"";"NÃO";NA;0;1;"NÃO";1;21;3;7;20
52248;"INCIDENTE";NA;NA;"SÃO PAULO";"SP";"BRASIL";"SBMT";2012-01-21;11:15:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";1;21;3;7;11
45393;"ACIDENTE";-22,9875;-43,37;"RIO DE JANEIRO";"RJ";"BRASIL";"SBJR";2012-01-22;20:25:00;"SIM";"FINALIZADA";"A-076/CENIPA/2013";"SIM";2013-10-21;0;1;"SIM";1;22;4;1;20
45397;"INCIDENTE GRAVE";-23,0477777778;-43,5369444444;"RIO DE JANEIRO";"RJ";"BRASIL";"";2012-01-22;19:05:00;"SIM";"FINALIZADA";"IG-536/CENIPA/2014";"SIM";2016-04-15;2;1;"NÃO";1;22;4;1;19
52051;"INCIDENTE";NA;NA;"RECIFE";"PE";"BRASIL";"SBRF";2012-01-22;23:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";1;22;4;1;23
45412;"ACIDENTE";-8,2775;-45,9561111111;"TASSO FRAGOSO";"MA";"BRASIL";"";2012-01-23;09:33:00;"SIM";"FINALIZADA";"A-059/CENIPA/2013";"SIM";2013-12-30;2;1;"NÃO";1;23;4;2;9
45413;"ACIDENTE";NA;NA;"ITAPURANGA";"GO";"BRASIL";"";2012-01-25;22:00:00;"";"";"";"NÃO";NA;0;1;"NÃO";1;25;4;4;22
52053;"INCIDENTE";NA;NA;"VITÓRIA";"ES";"BRASIL";"SBVT";2012-01-25;13:36:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";1;25;4;4;13
52054;"INCIDENTE";NA;NA;"SÃO PAULO";"SP";"BRASIL";"SBMT";2012-01-25;23:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";1;25;4;4;23
52055;"INCIDENTE";NA;NA;"RIBEIRÃO PRETO";"SP";"BRASIL";"";2012-01-25;09:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";1;25;4;4;9
45802;"INCIDENTE";NA;NA;"BELO HORIZONTE";"MG";"BRASIL";"SBBH";2012-01-26;17:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";1;26;4;5;17
45667;"INCIDENTE";NA;NA;"JOINVILLE";"SC";"BRASIL";"SBJV";2012-01-27;14:45:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";1;27;4;6;14
45579;"ACIDENTE";-23,0088888889;-47,1419444444;"CAMPOS LINDOS";"TO";"BRASIL";"";2012-01-28;18:35:00;"SIM";"FINALIZADA";"A-520/CENIPA/2016";"SIM";2016-07-13;0;1;"NÃO";1;28;4;7;18
45415;"ACIDENTE";NA;NA;"RIO DE JANEIRO";"RJ";"BRASIL";"";2012-01-30;13:55:00;"SIM";"FINALIZADA";"A-077/CENIPA/2013";"SIM";2013-10-21;0;1;"NÃO";1;30;5;2;13
45719;"INCIDENTE";NA;NA;"PELOTAS";"RS";"BRASIL";"";2012-01-30;21:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";1;30;5;2;21
45414;"ACIDENTE";-14,8766666667;-52,8886111111;"NOVA BRASILÂNDIA";"MT";"BRASIL";"";2012-01-31;18:00:00;"SIM";"FINALIZADA";"A-546/CENIPA/2018";"SIM";2020-05-29;0;1;"NÃO";1;31;5;3;18
45417;"ACIDENTE";-15,65;-56,1175;"VÁRZEA GRANDE";"MT";"BRASIL";"";2012-01-31;14:15:00;"SIM";"FINALIZADA";"A-078/CENIPA/2013";"SIM";2013-11-27;0;1;"NÃO";1;31;5;3;14
45668;"INCIDENTE";NA;NA;"CAMPOS DOS GOYTACAZES";"RJ";"BRASIL";"";2012-02-01;12:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;1;1;4;12
45682;"INCIDENTE";NA;NA;"MACAÉ";"RJ";"BRASIL";"";2012-02-01;13:50:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;1;1;4;13
45525;"ACIDENTE";-19,8138888889;-48,7388888889;"CAMPO FLORIDO";"MG";"BRASIL";"";2012-02-02;21:30:00;"SIM";"FINALIZADA";"A-529/CENIPA/2017";"SIM";2017-08-01;2;1;"NÃO";2;2;1;5;21
45705;"INCIDENTE";NA;NA;"SÃO JOSÉ DOS PINHAIS";"PR";"BRASIL";"SBCT";2012-02-02;22:35:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;2;1;5;22
45658;"INCIDENTE";NA;NA;"CAMPO GRANDE";"MS";"BRASIL";"SBCG";2012-02-03;23:33:00;"";"FINALIZADA";"NÃO HÁ";"NÃO";NA;0;1;"NÃO";2;3;1;6;23
45703;"INCIDENTE";NA;NA;"RIO DE JANEIRO";"RJ";"BRASIL";"SBGL";2012-02-03;02:04:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;3;1;6;2
45701;"INCIDENTE";NA;NA;"BELÉM";"PA";"BRASIL";"SBBE";2012-02-04;14:55:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;4;1;7;14
45587;"ACIDENTE";-13,755;-46,1616666667;"CORRENTINA";"BA";"BRASIL";"";2012-02-05;20:27:00;"SIM";"FINALIZADA";"A-580/CENIPA/2014";"SIM";2014-08-15;0;1;"NÃO";2;5;1;1;20
52056;"INCIDENTE";NA;NA;"LONDRINA";"PR";"BRASIL";"SBLO";2012-02-05;17:34:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;5;1;1;17
45469;"INCIDENTE";NA;NA;"PIRACICABA";"SP";"BRASIL";"SDPW";2012-02-06;20:45:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;6;1;2;20
45572;"ACIDENTE";-20,3563888889;-49,4186111111;"PALESTINA";"SP";"BRASIL";"";2012-02-06;19:30:00;"SIM";"FINALIZADA";"A-510/CENIPA/2021";"SIM";2021-07-21;0;1;"NÃO";2;6;1;2;19
45669;"INCIDENTE";NA;NA;"ITANHAÉM";"SP";"BRASIL";"";2012-02-06;14:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;6;1;2;14
45699;"INCIDENTE";NA;NA;"SÃO PAULO";"SP";"BRASIL";"SBSP";2012-02-06;18:44:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;6;1;2;18
45700;"INCIDENTE";NA;NA;"CUIABÁ";"MT";"BRASIL";"";2012-02-06;20:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;6;1;2;20
45524;"ACIDENTE";-23,1816666667;-46,9436111111;"JUNDIAÍ";"SP";"BRASIL";"SBJD";2012-02-07;16:10:00;"SIM";"FINALIZADA";"A-597/CENIPA/2014";"SIM";2014-10-14;0;1;"SIM";2;7;1;3;16
45580;"INCIDENTE GRAVE";NA;NA;"MACAÉ";"RJ";"BRASIL";"";2012-02-07;14:50:00;"SIM";"FINALIZADA";"IG-503/CENIPA/2018";"SIM";2018-07-27;4;1;"NÃO";2;7;1;3;14
45588;"ACIDENTE";-21,5633333333;-43,8183333333;"RIO DE JANEIRO";"RJ";"BRASIL";"";2012-02-07;20:56:00;"SIM";"FINALIZADA";"A-009/CENIPA/2013";"SIM";2013-12-12;4;1;"NÃO";2;7;1;3;20
45656;"INCIDENTE";NA;NA;"JUNDIAÍ";"SP";"BRASIL";"SBJD";2012-02-07;20:50:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;7;1;3;20
46900;"ACIDENTE";NA;NA;"QUELUZITO";"MG";"BRASIL";"";2012-02-07;19:45:00;"";"FINALIZADA";"A DEFINIR";"NÃO";NA;0;1;"NÃO";2;7;1;3;19
45528;"ACIDENTE";-1,3916666667;-48,4938888889;"BELÉM";"PA";"BRASIL";"";2012-02-08;01:44:00;"SIM";"FINALIZADA";"A-055/CENIPA/2013";"SIM";2014-09-29;3;1;"NÃO";2;8;2;4;1
45564;"ACIDENTE";-17,6447222222;-54,7394444444;"SONORA";"MS";"BRASIL";"";2012-02-08;09:50:00;"SIM";"FINALIZADA";"A-592/CENIPA/2018";"SIM";2019-10-28;0;1;"NÃO";2;8;2;4;9
45585;"ACIDENTE";NA;NA;"BELA VISTA DO PARAÍSO";"PR";"BRASIL";"";2012-02-08;21:35:00;"SIM";"FINALIZADA";"A-548/CENIPA/2015";"SIM";2016-07-07;0;1;"NÃO";2;8;2;4;21
45678;"INCIDENTE";NA;NA;"BELO HORIZONTE";"MG";"BRASIL";"SBPR";2012-02-10;22:05:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;10;2;6;22
45718;"INCIDENTE";NA;NA;"UBERLÂNDIA";"MG";"BRASIL";"SBUL";2012-02-10;04:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;10;2;6;4
45466;"ACIDENTE";-22,8591666667;-47,1080555556;"CAMPINAS";"SP";"BRASIL";"SDAM";2012-02-12;19:25:00;"SIM";"FINALIZADA";"A-542/CENIPA/2015";"SIM";2015-08-26;0;1;"NÃO";2;12;2;1;19
45470;"INCIDENTE";NA;NA;"RIO DE JANEIRO";"RJ";"BRASIL";"SBGL";2012-02-12;02:20:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;12;2;1;2
45586;"ACIDENTE";NA;NA;"ARROIO GRANDE";"RS";"BRASIL";"";2012-02-15;13:00:00;"SIM";"FINALIZADA";"A-082/8CENIPA/2013";"SIM";2013-11-27;0;1;"NÃO";2;15;3;4;13
52471;"INCIDENTE GRAVE";-13,3877777778;-38,9091666667;"CAIRU";"BA";"BRASIL";"SNCL";2012-02-15;13:20:00;"SIM";"FINALIZADA";"IG-081/CENIPA/2013";"SIM";2014-10-01;0;1;"SIM";2;15;3;4;13
45487;"ACIDENTE";-2,2466666667;-49,5527777778;"CAMETÁ";"PA";"BRASIL";"";2012-02-16;12:30:00;"SIM";"FINALIZADA";"A-003/CENIPA/2013";"SIM";2016-06-16;3;1;"NÃO";2;16;3;5;12
45684;"INCIDENTE";NA;NA;"PERUÍBE";"SP";"BRASIL";"";2012-02-17;14:45:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;17;3;6;14
45689;"INCIDENTE";NA;NA;"RIO DE JANEIRO";"RJ";"BRASIL";"";2012-02-17;23:00:00;"";"FINALIZADA";"";"NÃO";NA;0;3;"NÃO";2;17;3;6;23
45712;"INCIDENTE";NA;NA;"CABO FRIO";"RJ";"BRASIL";"";2012-02-17;12:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;17;3;6;12
45713;"INCIDENTE";NA;NA;"SÃO PAULO";"SP";"BRASIL";"";2012-02-17;11:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;17;3;6;11
45584;"INCIDENTE GRAVE";-11,4219444444;-37,3225;"ESTÂNCIA";"SE";"BRASIL";"SNOD";2012-02-19;15:10:00;"SIM";"FINALIZADA";"IG-083/CENIPA/2013";"SIM";2014-10-01;0;1;"NÃO";2;19;3;1;15
45598;"INCIDENTE GRAVE";-22,979167;-46,5375;"BRAGANÇA PAULISTA";"SP";"BRASIL";"SBBP";2012-02-20;14:10:00;"";"FINALIZADA";"A DEFINIR";"NÃO";NA;0;1;"SIM";2;20;3;2;14
45715;"INCIDENTE";NA;NA;"MANAUS";"AM";"BRASIL";"SWFN";2012-02-20;09:10:00;"SIM";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;20;3;2;9
45571;"ACIDENTE";-1,3611111111;-48,3566666667;"MARITUBA";"PA";"BRASIL";"";2012-02-22;13:40:00;"SIM";"FINALIZADA";"A-531CENIPA2015";"SIM";2016-11-24;9;1;"NÃO";2;22;4;4;13
45710;"INCIDENTE";NA;NA;"SÃO JOSÉ DOS PINHAIS";"PR";"BRASIL";"SBCT";2012-02-22;22:45:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;22;4;4;22
45714;"INCIDENTE";NA;NA;"BELO HORIZONTE";"MG";"BRASIL";"SBBH";2012-02-22;19:35:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;22;4;4;19
45681;"INCIDENTE";NA;NA;"MANAUS";"AM";"BRASIL";"SBEG";2012-02-23;10:25:00;"SIM";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;23;4;5;10
45527;"ACIDENTE";NA;NA;"CORUPÁ";"SC";"BRASIL";"";2012-02-24;11:45:00;"SIM";"FINALIZADA";"A-086/CENIPA/2013";"SIM";2013-11-27;0;1;"NÃO";2;24;4;6;11
45569;"ACIDENTE";NA;NA;"COSTA RICA";"MS";"BRASIL";"";2012-02-24;10:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;24;4;6;10
45653;"INCIDENTE GRAVE";-23,435556;-46,473056;"GUARULHOS";"SP";"BRASIL";"SBGR";2012-02-24;20:04:00;"";"FINALIZADA";"A DEFINIR";"NÃO";NA;0;1;"NÃO";2;24;4;6;20
45490;"ACIDENTE";-1,4886111111;-48,42;"BELÉM";"PA";"BRASIL";"";2012-02-25;11:47:00;"SIM";"FINALIZADA";"A-058/CENIPA/2013";"SIM";2013-11-27;1;1;"NÃO";2;25;4;7;11
45680;"INCIDENTE";NA;NA;"CONFINS";"MG";"BRASIL";"SBCF";2012-02-25;20:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;25;4;7;20
45709;"INCIDENTE";NA;NA;"RIO DE JANEIRO";"RJ";"BRASIL";"";2012-02-26;15:42:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";2;26;4;1;15
45522;"ACIDENTE";NA;NA;"SÃO JOSÉ";"SC";"BRASIL";"SSKT";2012-02-27;21:00:00;"SIM";"FINALIZADA";"A-088/CENIPA/2013";"SIM";2013-10-21;0;1;"NÃO";2;27;4;2;21
45599;"INCIDENTE GRAVE";-22,9791666667;-46,5375;"BRAGANÇA PAULISTA";"SP";"BRASIL";"SBBP";2012-02-27;19:15:00;"SIM";"FINALIZADA";"IG-087/CENIPA/2013";"SIM";2014-10-14;0;1;"NÃO";2;27;4;2;19
45523;"ACIDENTE";-7,4391666667;-70,0252777778;"ENVIRA";"AM";"BRASIL";"";2012-02-28;21:30:00;"SIM";"FINALIZADA";"A-084/CENIPA/2013";"SIM";2014-07-21;0;1;"NÃO";2;28;4;3;21
45573;"ACIDENTE";-3,0727777778;-60,0211111111;"MANAUS";"AM";"BRASIL";"";2012-02-28;10:15:00;"SIM";"FINALIZADA";"A-626/CENIPA/2014";"SIM";2015-05-15;2;1;"NÃO";2;28;4;3;10
45570;"ACIDENTE";NA;NA;"LUIZ ALVES";"SC";"BRASIL";"";2012-02-29;11:15:00;"SIM";"FINALIZADA";"A-089/CENIPA/2013";"SIM";2014-07-21;0;1;"NÃO";2;29;5;4;11
45727;"INCIDENTE";NA;NA;"BARRA DO GARÇAS";"MT";"BRASIL";"SBBW";2012-03-01;12:50:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;1;1;5;12
45526;"ACIDENTE";NA;NA;"QUERÊNCIA DO NORTE";"PR";"BRASIL";"";2012-03-02;12:50:00;"SIM";"FINALIZADA";"A-547/CENIPA/2015";"SIM";2016-03-18;0;1;"NÃO";3;2;1;6;12
45589;"ACIDENTE";-21,66277778;-49,73111111;"LINS";"SP";"BRASIL";"SWXQ";2012-03-02;17:35:00;"SIM";"ATIVA";"A-515/CENIPA/2021";"NÃO";NA;0;1;"NÃO";3;2;1;6;17
45707;"INCIDENTE";NA;NA;"FORTALEZA";"CE";"BRASIL";"SBFZ";2012-03-02;22:12:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;2;1;6;22
45610;"INCIDENTE";NA;NA;"SÃO JOSÉ DO RIO PRETO";"SP";"BRASIL";"";2012-03-03;13:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;3;1;7;13
45706;"INCIDENTE";NA;NA;"RIO BRANCO";"AC";"BRASIL";"SBRB";2012-03-03;17:35:00;"SIM";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;3;1;7;17
45711;"INCIDENTE";NA;NA;"SÃO PAULO";"SP";"BRASIL";"";2012-03-03;11:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;3;1;7;11
45596;"ACIDENTE";-7,8144444444;-43,7452777778;"ELISEU MARTINS";"PI";"BRASIL";"";2012-03-06;12:30:00;"SIM";"FINALIZADA";"A-040/CENIPA/2013";"SIM";2013-11-30;2;1;"NÃO";3;6;1;3;12
45604;"INCIDENTE";NA;NA;"RIO DE JANEIRO";"RJ";"BRASIL";"SBRJ";2012-03-06;11:31:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;6;1;3;11
45670;"INCIDENTE";NA;NA;"SALVADOR";"BA";"BRASIL";"SBSV";2012-03-06;23:25:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;6;1;3;23
45594;"ACIDENTE";-18,8722222222;-49,5397222222;"ITUMBIARA";"GO";"BRASIL";"";2012-03-07;10:00:00;"";"FINALIZADA";"ENCERRADA NO RAI";"NÃO";NA;0;1;"NÃO";3;7;1;4;10
45601;"INCIDENTE";NA;NA;"GUARULHOS";"SP";"BRASIL";"SBGR";2012-03-07;17:40:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;7;1;4;17
45624;"INCIDENTE";NA;NA;"VITÓRIA";"ES";"BRASIL";"";2012-03-07;11:45:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;7;1;4;11
45671;"INCIDENTE";NA;NA;"PALMAS";"TO";"BRASIL";"SBPJ";2012-03-07;10:50:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;7;1;4;10
45728;"INCIDENTE";NA;NA;"RIO BRANCO";"AC";"BRASIL";"";2012-03-08;22:00:00;"SIM";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;8;2;5;22
45677;"INCIDENTE";NA;NA;"ANÁPOLIS";"GO";"BRASIL";"";2012-03-09;08:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;9;2;6;8
45695;"INCIDENTE";NA;NA;"MACAÉ";"RJ";"BRASIL";"SBME";2012-03-09;11:35:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;9;2;6;11
45698;"INCIDENTE";NA;NA;"FORTALEZA";"CE";"BRASIL";"";2012-03-09;14:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;9;2;6;14
45612;"INCIDENTE";NA;NA;"LONDRINA";"PR";"BRASIL";"SBLO";2012-03-10;16:35:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"SIM";3;10;2;7;16
45647;"INCIDENTE";NA;NA;"MACAÉ";"RJ";"BRASIL";"";2012-03-10;11:48:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;10;2;7;11
45694;"INCIDENTE";NA;NA;"RIBEIRÃO PRETO";"SP";"BRASIL";"SBRP";2012-03-10;12:25:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;10;2;7;12
45789;"INCIDENTE";NA;NA;"ILHÉUS";"BA";"BRASIL";"SBIL";2012-03-10;12:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;10;2;7;12
45696;"INCIDENTE";NA;NA;"CAMPINAS";"SP";"BRASIL";"";2012-03-11;17:30:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;11;2;1;17
45697;"INCIDENTE";NA;NA;"RIBEIRÃO PRETO";"SP";"BRASIL";"";2012-03-11;22:42:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;11;2;1;22
45597;"ACIDENTE";-20,6058333333;-54,5966666667;"CAMPO GRANDE";"MS";"BRASIL";"SBCG";2012-03-12;14:38:00;"SIM";"FINALIZADA";"A-016/CENIPA/2013";"SIM";2013-07-10;2;1;"SIM";3;12;2;2;14
45611;"INCIDENTE";NA;NA;"RIO DE JANEIRO";"RJ";"BRASIL";"SBGL";2012-03-12;01:42:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;12;2;2;1
45618;"ACIDENTE";NA;NA;"LUIZ ALVES";"SC";"BRASIL";"";2012-03-12;17:00:00;"SIM";"FINALIZADA";"A-175/CENIPA/2013";"SIM";2014-08-15;1;1;"NÃO";3;12;2;2;17
45600;"INCIDENTE GRAVE";NA;NA;"ESPUMOSO";"RS";"BRASIL";"";2012-03-13;20:30:00;"SIM";"FINALIZADA";"IG-091/CENIPA/2013";"SIM";2013-11-27;0;1;"NÃO";3;13;2;3;20
45609;"INCIDENTE";NA;NA;"GOIÂNIA";"GO";"BRASIL";"";2012-03-13;12:50:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;13;2;3;12
45786;"INCIDENTE";NA;NA;"SALVADOR";"BA";"BRASIL";"SBSV";2012-03-14;12:46:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";3;14;2;4;12
